time_idx,ticker_id,company_type_id,close_price,open_price,high_price,low_price,volume,daily_return,ma_5,ma_20,ma_50,rsi_14,volatility_20,volume_ma_20,direction_7d,date,ticker,isin_code,year
73,0,2,7.19,7.19,7.19,7.19,100,-0.001389,7.248,7.467,7.0882,42.2955,0.014328,7603.75,0,2016-03-14,ADWYA,TN0007250012,2016
74,0,2,7.2,7.19,7.2,7.19,1574,0.001391,7.218,7.437,7.1056,43.0146,0.010444,5882.8,0,2016-03-15,ADWYA,TN0007250012,2016
75,0,2,7.27,7.27,7.27,7.27,1130,0.009722,7.212,7.417,7.126,47.9083,0.010419,5910.5,0,2016-03-16,ADWYA,TN0007250012,2016
76,0,2,7.3,7.29,7.3,7.2,4369,0.004127,7.232,7.402,7.1478,49.8943,0.010405,6047.45,0,2016-03-17,ADWYA,TN0007250012,2016
77,0,2,7.3,7.09,7.3,7.09,207,0.0,7.252,7.377,7.168,49.8943,0.008035,5244.2,0,2016-03-18,ADWYA,TN0007250012,2016
81,0,2,7.3,7.3,7.3,7.16,2064,0.0,7.274,7.362,7.188,49.8943,0.006088,5332.35,0,2016-03-22,ADWYA,TN0007250012,2016
82,0,2,7.3,7.2,7.3,7.2,1358,0.0,7.294,7.347,7.2078,49.8943,0.006088,5179.55,0,2016-03-23,ADWYA,TN0007250012,2016
83,0,2,7.18,7.2,7.3,7.15,4991,-0.016438,7.276,7.3255,7.2234,41.4021,0.00683,5141.75,0,2016-03-24,ADWYA,TN0007250012,2016
84,0,2,7.15,7.17,7.17,7.15,1639,-0.004178,7.246,7.308,7.2384,39.588,0.006277,4088.5,1,2016-03-25,ADWYA,TN0007250012,2016
87,0,2,7.0,7.01,7.01,7.0,3277,-0.020979,7.186,7.283,7.2504,32.0308,0.007495,4245.35,1,2016-03-28,ADWYA,TN0007250012,2016
88,0,2,7.0,7.0,7.0,6.99,990,0.0,7.126,7.26,7.2614,32.0308,0.007518,4191.4,1,2016-03-29,ADWYA,TN0007250012,2016
89,0,2,7.0,7.0,7.0,6.94,2899,0.0,7.066,7.238,7.2724,32.0308,0.007551,4029.05,1,2016-03-30,ADWYA,TN0007250012,2016
90,0,2,7.0,7.0,7.0,6.95,811,0.0,7.03,7.217,7.2844,32.0308,0.007581,3712.75,1,2016-03-31,ADWYA,TN0007250012,2016
91,0,2,7.0,7.0,7.0,7.0,229,0.0,7.0,7.1995,7.2944,32.0308,0.007444,3454.55,1,2016-04-01,ADWYA,TN0007250012,2016
94,0,2,7.15,7.0,7.15,7.0,400,0.021429,7.03,7.187,7.3074,46.7541,0.008961,3360.85,1,2016-04-04,ADWYA,TN0007250012,2016
95,0,2,7.53,7.01,7.53,7.01,11221,0.053147,7.136,7.196,7.3278,66.5326,0.01509,2777.55,0,2016-04-05,ADWYA,TN0007250012,2016
96,0,2,7.6,7.53,7.6,7.53,1082,0.009296,7.256,7.2085,7.3458,68.8295,0.01519,2336.35,0,2016-04-06,ADWYA,TN0007250012,2016
97,0,2,7.7,7.51,7.7,7.51,8330,0.013158,7.396,7.2285,7.3656,71.8064,0.015252,2615.35,0,2016-04-07,ADWYA,TN0007250012,2016
98,0,2,7.5,7.65,7.69,7.5,1641,-0.025974,7.496,7.2435,7.3754,59.5558,0.016169,2657.9,0,2016-04-08,ADWYA,TN0007250012,2016
101,0,2,7.28,7.28,7.5,7.28,427,-0.029333,7.522,7.2475,7.3768,49.543,0.017639,2436.95,0,2016-04-11,ADWYA,TN0007250012,2016
102,0,2,7.4,7.28,7.48,7.28,4216,0.016484,7.496,7.258,7.3786,54.0782,0.017978,2642.75,1,2016-04-12,ADWYA,TN0007250012,2016
103,0,2,7.5,7.57,7.57,7.5,905,0.013514,7.476,7.273,7.3824,57.5059,0.018174,2609.3,1,2016-04-13,ADWYA,TN0007250012,2016
104,0,2,7.35,7.49,7.49,7.35,376,-0.02,7.406,7.277,7.379,51.3181,0.018733,2571.6,1,2016-04-14,ADWYA,TN0007250012,2016
105,0,2,7.35,7.35,7.4,7.35,3287,0.0,7.376,7.2795,7.3712,51.3181,0.018716,2517.5,1,2016-04-15,ADWYA,TN0007250012,2016
108,0,2,7.35,7.3,7.35,7.2,981,0.0,7.39,7.282,7.3664,51.3181,0.018716,2556.2,1,2016-04-18,ADWYA,TN0007250012,2016
109,0,2,7.3,7.44,7.44,7.22,3214,-0.006803,7.37,7.282,7.3644,49.1178,0.018787,2613.7,1,2016-04-19,ADWYA,TN0007250012,2016
110,0,2,7.15,7.3,7.3,7.15,1141,-0.020548,7.3,7.2745,7.3594,43.1416,0.01935,2602.85,1,2016-04-20,ADWYA,TN0007250012,2016
111,0,2,7.47,7.15,7.47,7.15,11078,0.044755,7.324,7.289,7.3626,55.563,0.021478,2907.2,1,2016-04-21,ADWYA,TN0007250012,2016
112,0,2,7.69,7.47,7.69,7.47,5985,0.029451,7.392,7.316,7.3702,61.7499,0.022255,3124.5,1,2016-04-22,ADWYA,TN0007250012,2016
115,0,2,7.65,7.5,7.65,7.5,2617,-0.005202,7.452,7.3485,7.3762,60.1112,0.021598,3091.5,1,2016-04-25,ADWYA,TN0007250012,2016
116,0,2,7.6,7.6,7.6,7.6,1651,-0.006536,7.512,7.3785,7.3782,58.0378,0.021721,3124.55,1,2016-04-26,ADWYA,TN0007250012,2016
117,0,2,7.7,7.6,7.7,7.59,4787,0.013158,7.622,7.4135,7.3762,60.9396,0.021782,3218.95,1,2016-04-27,ADWYA,TN0007250012,2016
118,0,2,7.59,7.5,7.59,7.5,1406,-0.014286,7.646,7.443,7.3746,56.3255,0.022185,3248.7,1,2016-04-28,ADWYA,TN0007250012,2016
119,0,2,7.8,7.37,7.8,7.37,6875884,0.027668,7.668,7.483,7.3786,62.2085,0.022759,347031.45,1,2016-04-29,ADWYA,TN0007250012,2016
122,0,2,8.23,8.0,8.25,8.0,2980,0.055128,7.784,7.537,7.3872,70.863,0.025113,347160.45,1,2016-05-02,ADWYA,TN0007250012,2016
123,0,2,8.0,8.23,8.23,8.0,7235,-0.027947,7.864,7.5605,7.3952,62.6045,0.023845,346961.15,1,2016-05-03,ADWYA,TN0007250012,2016
124,0,2,8.28,8.0,8.28,8.0,10110,0.035,7.98,7.5945,7.4088,67.5609,0.024856,347412.55,1,2016-05-04,ADWYA,TN0007250012,2016
125,0,2,8.31,8.28,8.35,8.26,19704,0.003623,8.124,7.625,7.4228,68.0495,0.024774,347981.25,1,2016-05-05,ADWYA,TN0007250012,2016
126,0,2,8.5,8.31,8.5,8.31,19807,0.022864,8.264,7.675,7.4428,71.0262,0.02405,348889.55,0,2016-05-06,ADWYA,TN0007250012,2016
129,0,2,8.52,8.58,8.58,8.5,10272,0.002353,8.322,7.737,7.4632,71.329,0.022559,349381.8,0,2016-05-09,ADWYA,TN0007250012,2016
130,0,2,8.5,8.51,8.58,8.5,10280,-0.002347,8.422,7.792,7.484,70.5351,0.022585,349685.0,1,2016-05-10,ADWYA,TN0007250012,2016
131,0,2,8.6,8.5,8.62,8.3,19674,0.011765,8.486,7.847,7.5072,72.2011,0.022563,350623.45,0,2016-05-11,ADWYA,TN0007250012,2016
132,0,2,8.58,8.5,8.6,8.5,4042,-0.002326,8.54,7.9085,7.5304,71.3324,0.021777,350806.75,0,2016-05-12,ADWYA,TN0007250012,2016
133,0,2,8.6,8.42,8.67,8.42,19442,0.002331,8.56,7.971,7.5554,71.6991,0.021739,351614.5,0,2016-05-13,ADWYA,TN0007250012,2016
136,0,2,8.58,8.6,8.6,8.5,2266,-0.002326,8.572,8.0325,7.579,70.7249,0.02179,351678.75,1,2016-05-16,ADWYA,TN0007250012,2016
137,0,2,8.5,8.5,8.5,8.5,7666,-0.009324,8.572,8.0925,7.602,66.8141,0.021888,351901.35,1,2016-05-17,ADWYA,TN0007250012,2016
138,0,2,8.5,8.5,8.51,8.5,2514,0.0,8.552,8.16,7.625,66.8141,0.020946,351970.0,1,2016-05-18,ADWYA,TN0007250012,2016
139,0,2,8.51,8.5,8.51,8.48,23196,0.001176,8.538,8.212,7.6492,67.078,0.019214,352575.9,1,2016-05-19,ADWYA,TN0007250012,2016
140,0,2,8.5,8.5,8.51,8.5,5705,-0.001175,8.518,8.2525,7.6752,66.5084,0.018514,352561.9,1,2016-05-20,ADWYA,TN0007250012,2016
143,0,2,8.55,8.5,8.55,8.5,5098,0.005882,8.512,8.2975,7.7022,67.9728,0.018352,352685.95,1,2016-05-23,ADWYA,TN0007250012,2016
144,0,2,8.6,8.54,8.6,8.5,6628,0.005848,8.532,8.3475,7.7304,69.4131,0.018123,352934.8,1,2016-05-24,ADWYA,TN0007250012,2016
145,0,2,8.75,8.5,8.75,8.5,3312,0.017442,8.582,8.4,7.7614,73.2932,0.018233,352861.05,1,2016-05-25,ADWYA,TN0007250012,2016
146,0,2,9.0,8.75,9.0,8.75,16730,0.028571,8.68,8.4705,7.796,78.2463,0.018172,353627.25,0,2016-05-26,ADWYA,TN0007250012,2016
