ticker_id,ticker
0,ADWYA
1,AMEN BANK
2,ARTES
3,ASSAD
4,ASSU MAGHREBIA VIE
5,ATB
6,ATELIER MEUBLE INT
7,ATL
8,ATTIJARI BANK
9,ATTIJARI LEASING
10,BH BANK
11,BIAT
12,BNA
13,BT
14,CARTHAGE CEMENT
15,CELLCOM
16,CIL
17,CITY CARS
18,DELICE HOLDING
19,ELECTROSTAR
20,ENNAKL AUTOMOBILES
21,ESSOUKNA
22,EURO-CYCLES
23,GIF-FILTER
24,ICF
25,LAND OR
26,MAGASIN GENERAL
27,MONOPRIX
28,MPBS
29,NEW BODY LINE
30,ONE TECH HOLDING
31,POULINA GP HOLDING
32,SAH
33,SFBT
34,SIAME
35,SITS
36,SMART TUNISIE
37,SOMOCER
38,SOPAT
39,SOTETEL
40,SOTIPAPIER
41,SOTRAPIL
42,SOTUMAG
43,SOTUVER
44,STA
45,STAR
46,STB
47,TELNET HOLDING
48,TPR
49,TUNIS RE
50,TUNISAIR
51,TUNISIE LEASING
52,TUNISIE LEASING F
53,UADH
54,UIB
55,UNIMED
56,WIFACK INT BANK
