SEANCE    ;GROUPE    ;CODE        ;VALEUR          ;OUVERTURE ;CLOTURE    ;PLUS_BAS   ;PLUS_HAUT ;QUANTITE_NEGOCIEE;NB_TRANSACTION ;CAPITAUX 
02/01/2025   ;11        ;TN0001100254;SFBT              ;11.600    ;11.530    ;11.520    ;11.780    ;16304             ;77             ;189142.770
02/01/2025   ;11        ;TN0001400704;SPDIT - SICAF     ;12.000    ;12.000    ;12.000    ;12.000    ;1899              ;11             ;22788.000
02/01/2025   ;11        ;TN0001600154;ATTIJARI BANK     ;51.500    ;51.400    ;50.750    ;51.490    ;1289              ;28             ;66122.160
02/01/2025   ;11        ;TN0001800457;BIAT              ;93.830    ;93.900    ;93.520    ;93.900    ;1176              ;25             ;110262.330
02/01/2025   ;11        ;TN0001900604;BH BANK           ;12.700    ;12.700    ;0.000     ;0.000     ;0                 ;0              ;0.000
02/01/2025   ;11        ;TN0002100907;TUNISIE LEASING F ;17.990    ;17.990    ;17.990    ;17.990    ;90                ;7              ;1619.100
02/01/2025   ;11        ;TN0002200053;BT                ;5.190     ;5.170     ;5.150     ;5.170     ;8741              ;3              ;45016.270
02/01/2025   ;11        ;TN0002600955;STB               ;2.970     ;2.950     ;2.850     ;2.970     ;6292              ;14             ;18096.060
02/01/2025   ;11        ;TN0003100609;BNA               ;8.180     ;8.140     ;8.100     ;8.190     ;1342              ;8              ;10900.170
02/01/2025   ;11        ;TN0003200755;ICF               ;99.000    ;98.000    ;97.000    ;99.000    ;726               ;48             ;70626.140
02/01/2025   ;11        ;TN0003400058;AMEN BANK         ;36.900    ;36.400    ;36.000    ;36.880    ;1226              ;26             ;44691.540
02/01/2025   ;11        ;TN0003600350;ATB               ;2.800     ;2.840     ;2.800     ;2.840     ;1314              ;5              ;3699.160
02/01/2025   ;11        ;TN0003900107;UIB               ;22.300    ;22.320    ;22.300    ;22.760    ;2109              ;14             ;47756.030
02/01/2025   ;11        ;TN0004200853;CIL               ;24.900    ;24.900    ;24.900    ;24.900    ;321               ;1              ;7992.900
02/01/2025   ;11        ;TN0004700100;ATL               ;4.250     ;4.280     ;4.280     ;4.280     ;30                ;1              ;128.400
02/01/2025   ;11        ;TN0005700018;POULINA GP HOLDING;8.680     ;8.610     ;8.560     ;8.610     ;2832              ;21             ;24345.200
02/01/2025   ;11        ;TN0006060016;STAR              ;178.000   ;177.890   ;177.890   ;179.000   ;263               ;7              ;46873.870
02/01/2025   ;11        ;TN0006530018;SOTETEL           ;6.990     ;7.180     ;6.940     ;7.190     ;12426             ;62             ;88389.610
02/01/2025   ;11        ;TN0006560015;SOTUVER           ;12.610    ;12.500    ;12.400    ;12.610    ;12971             ;45             ;162394.920
02/01/2025   ;11        ;TN0006580013;SOTUMAG           ;6.250     ;6.420     ;6.250     ;6.420     ;12                ;3              ;76.360
